"","state","fuel.efficiency","renewables","eliminate.mandatory.minimum","three.strikes","aca","guns.banassault","imm.amnesty","white.advantage","min.wage","garland","epa.carbon","imm.legal.daca","abortion.legal","abortion.only.rape.incest.life","abortion.illegal.after.20","abortion.hc.coverage.decline","abortion.no.federal.funds","abortion.always.illegal"
"1","Alabama",0.715602617458713,0.600399625536625,0.623521870611739,0.892881329211215,0.671873336544092,0.488294131445444,0.474476061426677,0.41388238835494,0.654780470341196,0.0568328101242532,0.642494106648615,0.356801709273257,0.497032841316462,0.592928904104883,0.674290612084326,0.48238710836762,0.523461722952744,0.214009453714883
"2","Alaska",0.743521984564339,0.650387379954766,0.667410756118027,0.869448272069395,0.617644978883369,0.522330705650394,0.570420002687186,0.508912617640062,0.678753983522461,0.0920839210026724,0.688443960638465,0.4806194585586,0.577728144793918,0.525130148477405,0.607349060122577,0.431137673489054,0.465338246328669,0.157177790633387
"3","Arizona",0.710764699044957,0.637258979982123,0.672841279948455,0.845438137028874,0.569537141276916,0.575809446863474,0.541823508006072,0.561312977384216,0.692864724604124,0.0797576327246733,0.677046140553864,0.473538011493723,0.622371671354317,0.525600414907986,0.615705310932042,0.427670015552243,0.452544150404505,0.164671931215425
"4","Arkansas",0.721117087474654,0.605596876317758,0.618460038095296,0.892695846299721,0.611437258282581,0.501174251968815,0.482035038479859,0.415498133144072,0.650800559397798,0.0662622894413465,0.649615300212217,0.382047249205583,0.448840643438946,0.601116029128152,0.662356500579773,0.51971482727645,0.533039154770327,0.206882309264965
"5","California",0.739165325371218,0.690897585915522,0.649367324098611,0.805157361067163,0.449994334029727,0.683216114169889,0.605838435190285,0.675792416022553,0.798668611529077,0.076533023034977,0.757715299624521,0.490947547185384,0.716070193809251,0.475347768044809,0.547101142605395,0.339968942542416,0.362665568958243,0.169116037137429
"6","Colorado",0.736634115405495,0.654642271375948,0.687363694604713,0.845555144742755,0.541449693137763,0.541526854555542,0.555436545870758,0.571529699828002,0.660001824244502,0.102506684039733,0.703132057094621,0.480414814951353,0.655011923643389,0.474449897371127,0.557467728783975,0.385102822231637,0.41325949650809,0.155316244162854
"7","Connecticut",0.773952466106622,0.690754237865027,0.664646806321829,0.863067386296813,0.489643954152353,0.673507130942435,0.578050577132951,0.592085528240559,0.776268316767118,0.0942495190092551,0.783692904889975,0.477757614600613,0.715178364893284,0.452664455021633,0.546032655471232,0.298503692860263,0.34444105344282,0.132413740447165
"8","Delaware",0.756806018857422,0.683602901273301,0.651227439930942,0.888942690753078,0.539361283988757,0.629207080589981,0.545878801517029,0.543829612390575,0.740883042081635,0.0713569749193747,0.761290427762506,0.426787351474706,0.697646628154827,0.487266499965538,0.573350624428661,0.365362743357388,0.390642040443001,0.140252572069288
"9","Florida",0.740244850135394,0.661344948745975,0.665457517509701,0.869432408603025,0.56937335198659,0.629841396236858,0.542705283319212,0.542342670123739,0.747939888987304,0.0752352198063744,0.733580983097848,0.441761039507595,0.662419938742723,0.52576608119408,0.602987497311076,0.403736891441917,0.436645947374118,0.164766316168288
"10","Georgia",0.725400716300609,0.640883936199494,0.634617535241728,0.888928244620653,0.630498130572009,0.564022880211206,0.520470701588076,0.493527438738788,0.659872322927296,0.0630721317350539,0.696206712502087,0.419446404823556,0.583392663949989,0.552691503780491,0.618621114570634,0.474326408048181,0.496964137032179,0.194204800517843
